objectid,title,location,address,city,state,zip_code,subject,datebuilt_architect,latitude,longitude,architect,filename,rights,format,date_all,date
iaahs106,Overbrook High School (Wilt Chamberlain),West,5898 Lancaster Ave.,Philadelphia,PA,19131,school,"1924, Irwin T. Catherine",39.974485,-75.220917,Irwin T. Catherine,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Overbrook_High_School.JPG/500px-Overbrook_High_School.JPG,"By Smallbones - Own work, Public Domain, https://commons.wikimedia.org/w/index.php?curid=10531169",image/jpeg,1924,1924
iaahs107,Pinn Memorial Baptist Church / Har Zion Synagogue,West,2251 N. 54th St.,Philadelphia,PA,19131,church,"1922-1924, Leroy Rothschild; alterations and additions, 1940-1957, Silverman & Levey",39.993335,-75.233854,Leroy Rothschild;Silverman & Levey,,,record,1922;1924;1940;1957,1922
iaahs108,Lombard Central Presbyterian Church Building #2 / Friends Meeting House,West,4201 Powelton Ave.,Philadelphia,PA,19104,church,"ca. 1875; alterations, 1903, Morris & Vaux",39.959156,-75.206639,Morris & Vaux,,,record,1875;1903,1875
iaahs109,Crystal Bird Fauset House,West,5403 Vine St.,Philadelphia,PA,19139,dwelling,,39.9666702,-75.160056,,https://upload.wikimedia.org/wikipedia/commons/2/26/Crystal_Bird_Fauset.jpg,"By Roger Smith - https://www.loc.gov/pictures/item/2017854914/, Public Domain, https://commons.wikimedia.org/w/index.php?curid=89277533",image/jpeg,,
iaahs110,Freedom Now Rally (Dr. Martin Luther King Jr.),West,Lancaster and Haverford Aves.,Philadelphia,PA,19104,,,39.963926,-75.19431,,https://collaborativehistory.gse.upenn.edu/sites/default/files/Freedom%20Now%20Rally.png,Temple University Libraries,image/jpeg,,
iaahs111,MOVE site,West,6221 Osage Ave.,Philadelphia,PA,19143,,,39.955692,-75.24687,,https://collaborativehistory.gse.upenn.edu/sites/default/files/styles/large/public/AINRPZ201708000718.jpg?itok=7Av8bZ_R,Temple University Libraries,image/jpeg,,
iaahs112,Underground Railroad Museum at Belmont Mansion / American Women's Heritage Society,West,2000 Belmont Mansion Dr.,Philadelphia,PA,19131,dwelling; museum,"ca. 1742-1751; many additions and alterations, including ca. 1888 and 1905",39.985323,-75.213071,,https://upload.wikimedia.org/wikipedia/commons/2/22/WTP_A11_Techserv_1.jpg,"By See below - Wiki Takes Philadelphia, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=8076540",image/jpeg,1742;1751;1888;1905,1742
iaahs113,College Settlement / W. E. B. DuBois House,Center City,617 Rodman St.,Philadelphia,PA,19147,settlement house,,39.964834,-75.143959,,,,record,,
iaahs114,Colored Industrial School,Center City,20th below Walnut St.,Philadelphia,PA,,school,,39.9400207,-75.1799257,,,,record,,
iaahs115,Douglass Hotel (Billie Holiday Residence),Center City,1409-1411 Lombard St.,Philadelphia,PA,19146,hotel,1926,39.9616479,-75.2022775,,,,record,1926,1926
iaahs116,First African Baptist Church Cemetery,Center City,8th and Vine Sts.,Philadelphia,PA,19106,cemetery,1796,39.990821,-75.168428,,,,record,1796,1796
iaahs117,First African Baptist Church Site #2 / Cherry Street Baptist Church / Cherry Memorial Baptist Church,Center City,1025-1027 Cherry St.,Philadelphia,PA,19107,church,,39.963113,-75.229813,,,,record,,
iaahs118,Mayor Richardson Dilworth House,Center City,223-225 S. 6th St.,Philadelphia,PA,19106,dwelling,,39.949982,-75.150576,,,,record,,
iaahs119,North Penn Baptist Church,North,2419-2425 N. 27th St.,Philadelphia,PA,19132,church,"ca. 1911, Charles Wells",39.985261,-75.177145,Charles Wells,,,record,1911,1911
iaahs120,B.M. Oakley Memorial Temple / Trinity Reformed Church,North,1535 N. 7th St.,Philadelphia,PA,19122,church,"1869, Samuel Sloan",39.9420788,-75.1614584,Samuel Sloan,,,record,1869,1869
iaahs121,St. Paul Baptist Church / First Reformed Church Building,North,1000 Wallace St.,Philadelphia,PA,19123,church,"before 1888; alterations, 1916, 1920, 1929, Stuckert & Co.",39.963493,-75.217236,Stuckert & Co.,,,record,1888;1916;1920;1929,1888
iaahs122,Berean Presbyterian Church / Bethlehem Presbyterian Church,North,2101 N. Broad St.,Philadelphia,PA,19122,church,"1888, T. P. Chandler; alterations, 1909, 1910, 1915, J. Franklin Stuckert",39.9444019,-75.1787656,T. P. Chandler;J. Franklin Stuckert,,,record,1888;1909;1910;1915,1888
iaahs123,Negro People's Theater of Philadelphia,North,311 N. 16th St.,Philadelphia,PA,19102,,,40.042469,-75.146943,,,,record,,
iaahs124,Robert Purvis Estate,Northeast,Byberry and Thornton Roads,Philadelphia,PA,19154,dwelling,ca. 1770,39.990821,-75.168428,,,,record,1770,1770
iaahs125,Coulter Street School site / Daniel L. Keyser School / Wissahickon Boys and Girls Club,Northwest,328 W. Coulter St.,Philadelphia,PA,19144,school,"ca. 1887-1899, Joseph Anshutz",39.993189,-75.106902,Joseph Anshutz,,,record,1887;1899,1887
iaahs126,Galilee Baptist Church Building,Northwest,457 Roxborough Ave.,Philadelphia,PA,19128,church,"1900, Kennedy & Kelsey",40.028745,-75.213417,Kennedy & Kelsey,,,record,1900,1900
iaahs127,Thomas Meehan Public School,Northwest,5347-5353 Pulaski Ave.,Philadelphia,PA,19144,school,"1901, Lloyd Titus",40.032722,-75.182942,Lloyd Titus,,,record,1901,1901
iaahs128,Grace Baptist Church Building #2,Northwest,25 W. Johnson St.,Philadelphia,PA,19144,church,"late 1960s, Mansell, McGettigan & Fugate",40.037799,-75.190539,"Mansell, McGettigan & Fugate",,,record,1960s,1960s
iaahs129,Janes Methodist Church Building,Northwest,528 E. Haines St.,Philadelphia,PA,19144,church,"ca. 1898 or 1911, Rankin and Kellogg",40.04493,-75.169789,Rankin and Kellogg,,,record,1898;1911,1898
iaahs130,Bethel A.M.E. Church (Germantown) Building #2 / Rialto Theater Building / Tulpehocken Theater Building,Northwest,6153 Germantown Ave.,Philadelphia,PA,19144,church,"1914, architect unknown; alterations, William H. Lee, c. 1936; alterations c.1976",39.943066,-75.151993,William H. Lee,,,record,1914;1936;1976,1914
iaahs131,Germantown Industrial School for Colored Women,Northwest,30 Armat St.,Philadelphia,PA,19144,school,,39.990821,-75.168428,,,,record,,
iaahs132,Johnson House,Northwest,6306 Germantown Ave.,Philadelphia,PA,19144,dwelling,1768,39.973054,-75.141599,,,,record,1768,1768
iaahs133,Union Baptist Church Building #2,South,1910 Fitzwater St.,Philadelphia,PA,19146,church,"1913, Charles Bolton & Son; alterations, 1926, Charles Bolton & Son",39.942723,-75.174563,Charles Bolton & Son;Charles Bolton & Son,,,record,1913;1926,1913
iaahs134,Harrison Day Nursery,South,1839-1843 Ellsworth St.,Philadelphia,PA,19146,day care,"1898, Furness, Evans and Co.",39.933044,-75.146626,"Furness, Evans and Co.",,,record,1898,1898
iaahs135,Zion A.M.E. Church,South,1600 S. 21st St.,Philadelphia,PA,19145,church,"1925-1928, George E. Savage",39.931847,-75.180092,George E. Savage,,,record,1925;1928,1925
iaahs136,St. Mary Chapel Building,South,1831-1835 Bainbridge St.,Philadelphia,PA,19146,church,"1897, Hazlehurst & Huckel",39.942257,-75.161512,Hazlehurst & Huckel,,,record,1897,1897
iaahs137,Friendship Baptist Church / 18th Street Baptist Church / 18th Street Methodist Episcopal Church,South,1730 Wharton St.,Philadelphia,PA,19146,church,"1885-1888, J. Franklin Stuckert",39.934777,-75.173805,J. Franklin Stuckert,,,record,1885;1888,1885
iaahs138,Tasker Street Baptist Church / Metropolitan Baptist Church,South,2010 Tasker St.,Philadelphia,PA,19145,church,"ca. 1900, S. Bythewood; alterations, 1928 and 1940, Richard R. Neely",39.930982,-75.172246,S. Bythewood;Richard R. Neely,,,record,1900;1928;1940,1900
iaahs139,Union Baptist Building #1 / New Hope Temple Baptist Church,South,711-715 S. 12th St.,Philadelphia,PA,19147,church,"1893, Thomas Bennett",39.932836,-75.164046,Thomas Bennett,,,record,1893,1893
iaahs140,Shiloh Baptist Church #1 / Murray Chapel / Mount Olive A.M.E. Church / Waters Memorial A.M.E. Church,South,609 S. Clifton St.,Philadelphia,PA,19147,church,"ca. 1840; alterations, 1895, Wilson Brothers; alterations, 1921, C. Wilson; alterations, 1953",39.942645,-75.159714,Wilson Brothers;C. Wilson,,,record,1840;1895;1921;1953,1840
iaahs141,Dutrieuille Catering Site #2,West,4001 Spring Garden St.,Philadelphia,PA,19104,caterer,"ca. 1888, A. Wade",39.9176146,-75.1668377,A. Wade,,,record,1888,1888
iaahs142,First African Presbyterian Church / Emmanuel Presbyterian Church,West,4159 W. Girard Ave.,Philadelphia,PA,19104,church,"1912, Charles Bolton & Son",39.973946,-75.209674,Charles Bolton & Son,,,record,1912,1912
